TICKET_ID,SERVICE_TYPE,SUBMIT_DATE,LAST_MODIFICATION_DATE,ASSIGNED_SUPPORT_COMPANY,REPORTED_DATE,REPORTED_SOURCE_ID,OPERATING_COMPANY_NAME,CONTACT_COMPANY_NAME,END_USER_COUNTRY,REQUIRED_RESOLUTION_DATE,ASSIGNED_AGENT,LAST_RESOLVED_DATE,CLOSED_DATE,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,OPERATIONAL_CATEGORIZATION_TIER_1,OPERATIONAL_CATEGORIZATION_TIER_2,OPERATIONAL_CATEGORIZATION_TIER_3,CLOSURE_CATEGORIZATION_TIER_1,CLOSURE_CATEGORIZATION_TIER_2,CLOSURE_CATEGORIZATION_TIER_3,VENDOR_GROUP,INF2_HPD_OUTAGE_DURATION,ADMIN_NUMBER,INSTANCEID
INC000001634859,User Service Restoration,2019-03-19 13:41:09,2019-07-18 19:35:55,Telefonica,2019-03-19 13:40:33,12001.0,Telefónica México (Pegaso),,Spain,2019-03-19 14:46:50,Armando Bardales Guerrero,2019-03-20 09:52:33,2019-03-20 09:52:43,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Main Line Working with Backup,Damage in Main Line Working with Backup,TELEFONICA,LOSS OF MANAGEMENT,FALSE ALARM,,1.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26APOMIOLPNOYR9R0OJ
INC000001655639,Infrastructure Event,2019-04-02 07:25:26,2019-07-18 19:35:55,Telefonica,2019-04-02 07:25:26,10000.0,Telefónica México (Pegaso),,,,Yassel Castro,,,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,NETWORK NOTIFICATION,NETWORK NOTIFICATION,NETWORK NOTIFICATION,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26APP1OPZPO43QK1J37
INC000001710563,Infrastructure Event,2019-05-11 13:43:23,2019-12-10 08:35:27,XO Communications,2019-05-11 13:37:06,10000.0,Telefónica México (Pegaso),Telefónica México (Pegaso),Spain,,Generic XO Telecomunications,,,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Main Line Working with Backup,Damage in Main Line Working with Backup,,,,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6IPYAPR23SKPQ5CBWXS3S
INC000001710371,User Service Restoration,2019-05-11 13:09:23,2019-07-18 19:35:55,Telefonica,2019-05-11 13:08:40,12001.0,Telefónica México (Pegaso),,Spain,2019-05-11 19:24:01,Cristian Sánchez Gutiérrez,2019-05-11 19:24:01,2019-05-11 19:24:01,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Customer,Customer Premise Equipment,Power supply failure,,374.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6F35APR229NPQ4YQOR6TS
INC000001710394,User Service Restoration,2019-05-11 19:24:05,2019-07-18 19:35:55,Telefonica,2019-05-11 19:23:22,12001.0,Telefónica México (Pegaso),,Spain,2019-05-11 19:25:05,German Bermudez Galan,2019-05-14 12:23:22,2019-05-14 13:28:54,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Backup Line,Damage in Backup Line,Customer,Customer Premise Equipment,Cut off caused by contracts,,1.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6F35APR2TWFPQ56DGIO22
INC000001710482,User Service Restoration,2019-05-11 13:05:55,2019-07-18 19:35:55,Telefonica,2019-05-11 13:05:17,12001.0,Telefónica México (Pegaso),,Spain,2019-05-11 17:23:20,Reyner Jose Infante Ramirez,2019-05-14 12:16:55,2019-05-14 13:29:35,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Main Line Working with Backup,Damage in Main Line Working with Backup,Customer,Customer Premise Equipment,Cut off caused by contracts,,3.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26APR223VPQ4Z9GZES0
INC000001835899,User Service Restoration,2019-08-02 06:12:21,2019-12-10 08:38:10,Telefonica,2019-08-02 06:11:46,12001.0,Telefónica México (Pegaso),,Spain,,Laura García González,,,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Backup Line,Damage in Backup Line,,,,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26APVL8KLPUNZ1A72YS
INC000001883748,User Service Restoration,2019-09-08 06:13:08,2019-09-10 03:00:13,Telefonica,2019-09-08 06:12:33,12001.0,GRUPO DE TELECOMUNICACIONES MEXICANAS SA DE CV (TEL MOV MEXICO),,Spain,2019-09-08 05:00:00,,2019-09-09 10:35:53,2019-09-09 10:36:01,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Main Line Working with Backup,Damage in Main Line Working with Backup,NO DATA,NO DATA,NO DATA,,73.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6F35APX8BJWPWK6CQ6N5Q
INC000001889838,User Service Restoration,2019-09-12 03:48:07,2019-10-03 13:42:49,Telefonica,2019-09-12 03:42:20,10000.0,BBVA,BBVA,Spain,,Alberto Leiva,2019-09-12 07:55:14,2019-09-12 07:55:14,Network Services,MPLS VPN,MPLS VPN Site,Failure,Damage in Main Line Working with Backup,Damage in Main Line Working with Backup,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6IPYAPXPIXNPWRN0Q53X0
INC000002010157,User Service Restoration,2019-11-23 09:46:38,2019-11-24 03:00:27,Telefonica,2019-11-23 09:46:02,12001.0,GRUPO DE TELECOMUNICACIONES MEXICANAS SA DE CV (TEL MOV MEXICO),,,,,2019-11-23 10:53:53,2019-11-23 10:53:53,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Main Line Working with Backup,Damage in Main Line Working with Backup,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6F35AQB5BTQQA70YEO45T
INC000002010353,User Service Restoration,2019-11-23 12:38:26,2019-11-24 03:00:29,Telefonica,2019-11-23 12:37:21,12001.0,GRUPO DE TELECOMUNICACIONES MEXICANAS SA DE CV (TEL MOV MEXICO),,,,,2019-11-23 13:54:09,2019-11-23 13:54:09,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Main Line Working with Backup,Damage in Main Line Working with Backup,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26AQB5JSCQA793E8BEP
